address	price	Bedrooms	Bath	Lot Size	Property Age	Gross Taxes for 2020	Area	Sub-Area/Community	Property Type	Title	Style																	
204 5033 Cambie Street	"$695,000"	1	1	Built in 2020 (0 yrs old)	"$1,521"	$249	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Inside Unit																	
308 4083 Cambie Street	"$1,090,000"	1	2	Built in 2017 (3 yrs old)	"$2,832"	$479	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Corner Unit																	
3861 Willow Street	"$1,898,800"	2	4	Built in 2021 (-1 yrs old)	$0	$307	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"2 Storey,Carriage/Coach House"																	
102 5383 Cambie Street	"$825,000"	1	1	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Cambie	Apt/Condo	Freehold Strata	"Ground Level Unit,Inside Unit"																	
Ph 5 5168 Cambie Street	"$1,549,900"	2	2	Built in 2023 (-3 yrs old)	$0	$350	Vancouver West	Cambie	Apt/Condo	Freehold Strata	Inside Unit																	
106 6933 Cambie Street	"$1,268,000"	2	2	Built in 2019 (1 yrs old)	"$2,990"	$331	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
2 6939 Cambie Street	"$649,000"	0	1	Built in 2019 (1 yrs old)	"$1,595"	$314	Vancouver West	South Cambie	Townhouse	Freehold Strata	"2 Storey,End Unit"																	
208 6933 Cambie Street	"$1,038,000"	2	2	Built in 2019 (1 yrs old)	"$2,478"	$300	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	Inside Unit																	
210 444 W 49th Avenue	"$1,498,800"	2	2	Built in 1980 (40 yrs old)	"$2,208"	$394	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
304 375 W 59th Avenue	"$1,688,800"	3	2	Built in 2019 (1 yrs old)	"$3,379"	$697	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
203 6677 Cambie Street	"$1,165,000"	2	2	Built in 2016 (4 yrs old)	"$2,870"	$482	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"Corner Unit,End Unit"																	
102 375 W 59th Avenue	"$1,780,000"	3	3	Built in 2019 (1 yrs old)	"$3,716"	$791	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
203 389 W 59th Avenue	"$1,527,000"	2	2	Built in 2019 (1 yrs old)	"$2,867"	$596	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	End Unit																	
207 988 W 54th Avenue	"$948,000"	2	2	Built in 1999 (21 yrs old)	"$2,815"	$587	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	Corner Unit																	
6922 Laurel Street	"$5,388,000"	7	6	57 ft x 145 ft (8265 ft²)	Built in 2013 (7 yrs old)	"$18,172"	Vancouver West	South Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
502 477 W 59th Avenue	"$1,689,900"	3	2	Built in 2021 (-1 yrs old)	$0	$663	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
104 477 W 59th Avenue	"$769,900"	1	1	Built in 2021 (-1 yrs old)	$0	$331	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
204 477 W 59th Avenue	"$1,359,900"	2	2	Built in 2021 (-1 yrs old)	$0	$611	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
202 488 W 58th Avenue	"$1,645,900"	3	2	Built in 2021 (-1 yrs old)	$0	$704	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
604 389 W 59th Avenue	"$1,888,000"	3	3	Built in 2019 (1 yrs old)	"$4,043"	$773	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
925 W 52nd Avenue	"$3,888,000"	7	4	145 ft x 60 ft (8700 ft²)	Built in 1990 (30 yrs old)	"$11,888"	Vancouver West	South Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
966 Westbury Walk	"$1,776,000"	4	4	Built in 2004 (16 yrs old)	"$4,611"	$516	Vancouver West	South Cambie	Townhouse	Freehold Strata	3 Storey																	
6949 Laurel Street	"$3,590,000"	5	5	57 ft x 145 ft (8265 ft²)	Built in 1959 (61 yrs old)	"$10,246"	Vancouver West	South Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
6889 Cambie Street	"$8,400,000"	7	4	60 ft x 130 ft (7795 ft²)	Built in 1965 (55 yrs old)	"$31,050"	Vancouver West	South Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
503 6677 Cambie Street	"$1,170,000"	2	2	Built in 2016 (4 yrs old)	"$2,978"	$482	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
975 Westbury Walk	"$1,398,000"	3	3	Built in 2004 (16 yrs old)	"$3,686"	$357	Vancouver West	South Cambie	Townhouse	Freehold Strata	3 Storey																	
1105 7433 Cambie Street	"$1,790,900"	2	2	Built in 2022 (-2 yrs old)	$0	$652	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
6650 Oak Street	"$3,998,000"	6	2	54 ft x 144 ft (7776 ft²)	Built in 1958 (62 yrs old)	"$9,265"	Vancouver West	South Cambie	House	Freehold NonStrata	2 Storey																	
205 6933 Cambie Street	"$939,000"	2	2	Built in 2019 (1 yrs old)	"$2,147"	$269	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
6633 Cambie St	"$715,000"	1	1	"$1,860"	$320	Vancouver West	South Cambie	Apt/Condo	Apartment	Wood	Radiant																	
307 7433 Cambie Street	"$729,900"	1	1	Built in 2022 (-2 yrs old)	$0	$281	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	Other																	
Ph2 7433 Cambie Street	"$3,498,900"	3	2	Built in 2022 (-2 yrs old)	$0	$963	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	Penthouse																	
Th3 7433 Cambie Street	"$2,249,900"	3	4	Built in 2022 (-2 yrs old)	$0	$976	Vancouver West	South Cambie	Townhouse	Freehold Strata	3 Storey																	
N108 7428 Alberta Street	"$1,330,000"	2	2	Built in 2019 (1 yrs old)	"$2,440"	$700	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"1 Storey,Ground Level Unit"																	
6868 Laurel Street	"$5,280,000"	6	8	57 ft x 145 ft (8265 ft²)	Built in 2012 (8 yrs old)	"$16,354"	Vancouver West	South Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
406 6933 Cambie Street	"$1,080,000"	2	2	Built in 2019 (1 yrs old)	"$2,820"	$547	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	Corner Unit																	
208 7428 Alberta Street	"$1,299,900"	2	2	Built in 2019 (1 yrs old)	$0	$514	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"1 Storey,Inside Unit"																	
6909 Cambie Street	"$8,400,000"	4	4	60 ft x 130 ft (7795 ft²)	Built in 1959 (61 yrs old)	"$9,347"	Vancouver West	South Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
408 7428 Alberta Street	"$858,000"	1	1	Built in 2019 (1 yrs old)	$0	$393	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	Other																	
605/606 7428 Alberta Street	"$2,688,800"	3	3	Built in 2020 (0 yrs old)	"$4,517"	$996	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
504 389 W 59th Avenue	"$859,000"	1	1	Built in 2020 (0 yrs old)	"$1,970"	$447	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
759 W 50th Avenue	"$4,888,000"	5	6	55 ft x 120 ft (6600 ft²)	Built in 2019 (1 yrs old)	"$11,654"	Vancouver West	South Cambie	House	Freehold NonStrata	2 Storey w/Bsmt.																	
888 W 58th Avenue	"$1,899,000"	4	4	Built in 2003 (17 yrs old)	"$5,568"	$585	Vancouver West	South Cambie	Townhouse	Freehold Strata	End Unit																	
105 375 W 59th Avenue	"$888,000"	1	1	Built in 2019 (1 yrs old)	"$1,757"	$366	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	1 Storey																	
408 389 W 59th Avenue	"$1,480,000"	3	2	Built in 2019 (1 yrs old)	$0	$602	Vancouver West	South Cambie	Apt/Condo	Freehold Strata	"5 Plus Level,Upper Unit"																	
3872 W 10th Avenue	"$3,388,000"	4	6	33 ft x 122 ft (4040 ft²)	Built in 2019 (1 yrs old)	"$8,933"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3007 Crown Street	"$3,288,000"	4	4	33 ft x 112 ft (3714 ft²)	Built in 2009 (11 yrs old)	"$9,496"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4628 W 15th Avenue	"$3,388,000"	6	6	33 ft x 122 ft (4026 ft²)	Built in 2017 (3 yrs old)	"$8,866"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4261 W 13th Avenue	"$7,399,000"	5	7	55 ft x 122 ft (6710 ft²)	Built in 2018 (2 yrs old)	"$19,386"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4754 W 2nd Avenue	"$11,988,000"	6	6	100 ft x 338 ft (33838 ft²)	Built in 1921 (99 yrs old)	"$50,071"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3707 W 13th Avenue	"$3,450,000"	3	3	3663 ft²	Built in 1985 (35 yrs old)	"$8,812"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey																	
404 3720 W 8th Avenue	"$919,000"	2	2	Built in 1988 (32 yrs old)	"$2,651"	$525	Vancouver West	Point Grey	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
202 3639 W 16th Avenue	"$1,899,900"	2	3	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Point Grey	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
3122 Courtenay Street	"$2,880,000"	4	2	33 ft x 121 ft (4046 ft²)	Built in 1941 (79 yrs old)	"$7,752"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4307 W 13th Avenue	"$4,150,000"	5	5	33 ft x 122 ft (4035 ft²)	Built in 2019 (1 yrs old)	"$9,912"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3968 W 10th Avenue	"$2,550,000"	3	3	33 ft x 122 ft (4029 ft²)	Built in 1979 (41 yrs old)	"$7,420"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey																	
2588 Courtenay Street	"$4,388,000"	10	5	9631 ft²	Built in 1928 (92 yrs old)	"$13,186"	Vancouver West	Point Grey	House	Freehold NonStrata	"2 Storey w/Bsmt.,Carriage/Coach House"																	
4519 W 12th Avenue	"$6,880,000"	5	8	49 ft x 122 ft (6035 ft²)	Built in 2020 (0 yrs old)	"$15,192"	Vancouver West	Point Grey	House	Freehold NonStrata	"2 Storey w/Bsmt.,Laneway House"																	
307 3639 W 16th Avenue	"$2,100,000"	2	3	Built in 2020 (0 yrs old)	$0	$510	Vancouver West	Point Grey	Apt/Condo	Freehold Strata	Corner Unit																	
211 3639 16 Avenue	"$1,860,000"	2	2	Built in 2021 (-1 yrs old)	$0	$0	Vancouver West	Point Grey	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
4205 W 12th Avenue	"$4,288,000"	8	8	33 ft x 122 ft (4026 ft²)	Built in 2017 (3 yrs old)	"$10,316"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4108 W 12th Avenue	"$4,180,000"	3	5	33 ft x 122 ft (4026 ft²)	Built in 2020 (0 yrs old)	"$9,057"	Vancouver West	Point Grey	House	Freehold NonStrata	3 Storey w/Bsmt																	
106 3839 W 4th Avenue	"$1,088,800"	2	2	Built in 2008 (12 yrs old)	"$2,709"	$339	Vancouver West	Point Grey	Apt/Condo	Freehold Strata	"Corner Unit,Ground Level Unit"																	
4248 W 10th Avenue	"$3,880,000"	4	2	33 ft x 122 ft (4026 ft²)	Built in 2015 (5 yrs old)	"$8,083"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4343 W 12th Avenue	"$3,880,000"	4	6	33 ft x 122 ft (4026 ft²)	Built in 2013 (7 yrs old)	"$9,206"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
305 3766 W 7th Avenue	"$1,279,000"	2	2	Built in 1989 (31 yrs old)	"$3,751"	$577	Vancouver West	Point Grey	Apt/Condo	Freehold Strata	Upper Unit																	
4532 W 6th Avenue	"$4,580,000"	4	4	47 ft x 112 ft (5287 ft²)	Built in 1943 (77 yrs old)	"$14,556"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3853 W 14th Avenue	"$5,880,000"	8	7	47 ft x 122 ft (5755 ft²)	Built in 2013 (7 yrs old)	"$21,311"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4688 W 3rd Avenue	"$13,880,000"	5	7	66 ft x 168 ft (11088 ft²)	Built in 2012 (8 yrs old)	"$54,374"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4648 W 8th Avenue	"$2,998,000"	4	4	33 ft x 115 ft (3853 ft²)	Built in 1989 (31 yrs old)	"$8,245"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4576 W 7th Avenue	"$3,480,000"	3	3	33 ft x 112 ft (3723 ft²)	Built in 2006 (14 yrs old)	"$10,309"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
101 3663 W 16th Avenue	"$599,000"	1	1	Built in 1977 (43 yrs old)	"$1,380"	$367	Vancouver West	Point Grey	Apt/Condo	Freehold Strata	"Corner Unit,Ground Level Unit"																	
402 4387 W 10th Avenue	"$1,980,000"	3	3	Built in 2006 (14 yrs old)	"$4,386"	$959	Vancouver West	Point Grey	Apt/Condo	Freehold Strata	"2 Storey,Corner Unit,Upper Unit"																	
4434 W 1st Avenue	"$4,298,000"	5	4	50 ft x 112 ft (5600 ft²)	Built in 1978 (42 yrs old)	"$12,241"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
102 2556 Highbury Street	"$1,059,000"	2	2	Built in 1988 (32 yrs old)	"$2,443"	$436	Vancouver West	Point Grey	Townhouse	Freehold Strata	2 Storey																	
4374 W 8th Avenue	"$4,880,000"	4	4	33 ft x 115 ft (3802 ft²)	Built in 2020 (0 yrs old)	"$9,481"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4150 W 8th Avenue	"$10,500,000"	5	5	70 ft x 111 ft (7809 ft²)	Built in 2010 (10 yrs old)	"$39,089"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4639 Simpson Avenue	"$11,980,000"	5	7	60 ft x 118 ft (7080 ft²)	Built in 2014 (6 yrs old)	"$50,567"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4625 W 3rd Avenue	"$12,880,000"	6	5	66 ft x 168 ft (11134 ft²)	Built in 1931 (89 yrs old)	"$52,969"	Vancouver West	Point Grey	House	Freehold NonStrata	2 Storey w/Bsmt.																	
104 2250 W 43rd Avenue	"$568,000"	2	1	Built in 1957 (63 yrs old)	$0	$405	Vancouver West	Kerrisdale	Apt/Condo	Shares in Co-operative	3 Storey																	
1948 W 41st Avenue	"$2,498,000"	4	2	34 ft x 127 ft (4348 ft²)	Built in 1925 (95 yrs old)	"$5,594"	Vancouver West	Kerrisdale	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
5375 Trafalgar Street	"$3,650,000"	6	5	44 ft x 120 ft (5280 ft²)	Built in 1996 (24 yrs old)	"$9,303"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
104 2250 W 43rd Avenue	"$568,000"	2	1	Built in 1957 (63 yrs old)	$0	$405	Vancouver West	Kerrisdale	Apt/Condo	Shares in Co-operative	3 Storey																	
6305 Mccleery Street	"$4,698,000"	4	4	70 ft x 132 ft (9298 ft²)	Built in 1910 (110 yrs old)	"$12,994"	Vancouver West	Kerrisdale	House	Freehold NonStrata	3 Storey																	
3296 W 37th Avenue	"$2,980,000"	4	2	77 ft x 107 ft (8316 ft²)	Built in 1930 (90 yrs old)	"$9,001"	Vancouver West	Kerrisdale	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
2883 W 43rd Avenue	"$3,988,000"	3	6	33 ft x 135 ft (4455 ft²)	Built in 2019 (1 yrs old)	"$9,718"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3243 W 38th Avenue	"$2,899,000"	4	4	33 ft x 130 ft (4290 ft²)	Built in 1945 (75 yrs old)	"$8,016"	Vancouver West	Kerrisdale	House	Freehold NonStrata	3 Storey																	
404 2189 W 42nd Avenue	"$749,900"	1	1	Built in 1988 (32 yrs old)	"$2,000"	$487	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	Corner Unit																	
501 6168 East Boulevard	"$2,898,000"	2	3	Built in 2019 (1 yrs old)	"$7,373"	$546	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
5968 Trafalgar Street	"$3,988,000"	6	7	51 ft x 137 ft (7016 ft²)	Built in 1995 (25 yrs old)	"$12,063"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
5389 Larch Street	"$3,780,000"	5	4	66 ft x 135 ft (8943 ft²)	Built in 1942 (78 yrs old)	"$11,000"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
6289 Carnarvon Street	"$4,980,000"	0	0	78 ft x 93 ft (23950 ft²)	"$32,275"	Vancouver West	Kerrisdale	House	Freehold NonStrata	Other	93.038																	
2969 W 41st Avenue	"$2,999,999"	4	5	33 ft x 112 ft (3696 ft²)	Built in 2014 (6 yrs old)	"$7,401"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
332 5790 East Boulevard	"$1,249,800"	3	3	Built in 2001 (19 yrs old)	"$3,056"	$538	Vancouver West	Kerrisdale	Townhouse	Freehold Strata	2 Storey																	
203 5325 West Boulevard	"$998,800"	2	2	Built in 2017 (3 yrs old)	"$3,075"	$443	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	1 Storey																	
5595 Mackenzie Street	"$4,188,000"	4	2	50 ft x 210 ft (10540 ft²)	Built in 1931 (89 yrs old)	"$9,160"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2 5475 Vine Street	"$398,000"	1	1	Built in 1958 (62 yrs old)	"$1,149"	$295	Vancouver West	Kerrisdale	Apt/Condo	Shares in Co-operative	Corner Unit																	
208 2071 W 42nd Avenue	"$1,499,000"	3	3	Built in 2000 (20 yrs old)	"$4,447"	$664	Vancouver West	Kerrisdale	Townhouse	Freehold Strata	"2 Storey,Upper Unit"																	
2921 W 41st Avenue	"$3,388,000"	7	8	45 ft x 163 ft (7375 ft²)	Built in 2015 (5 yrs old)	"$13,134"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
2193 W 46th Avenue	"$2,888,000"	5	4	33 ft x 134 ft (4439 ft²)	Built in 1991 (29 yrs old)	"$8,412"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
104 2250 W 43rd Avenue	"$568,000"	2	1	Built in 1957 (63 yrs old)	$0	$405	Vancouver West	Kerrisdale	Apt/Condo	Shares in Co-operative	3 Storey																	
6007 Larch Street	"$4,389,900"	5	6	32 ft x 125 ft (4110 ft²)	Built in 2020 (0 yrs old)	"$7,565"	Vancouver West	Kerrisdale	House	Freehold NonStrata	"2 Storey w/Bsmt.,Laneway House"																	
307 5325 West Boulevard	"$1,150,000"	2	2	Built in 2017 (3 yrs old)	"$3,264"	$481	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	Upper Unit																	
213 5723 Balsam Street	"$898,000"	3	2	Built in 1996 (24 yrs old)	"$2,156"	$500	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	"1 Storey,End Unit"																	
401 2189 W 42nd Avenue	"$938,000"	2	2	Built in 1988 (32 yrs old)	"$2,987"	$701	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	Corner Unit																	
3033 W 42nd Avenue	"$2,980,000"	5	5	32 ft x 135 ft (4444 ft²)	Built in 1996 (24 yrs old)	"$8,772"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
6768 Maple Street	"$3,998,000"	6	7	45 ft x 198 ft (8924 ft²)	Built in 1993 (27 yrs old)	"$9,930"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
5510 Blenheim Street	"$2,980,000"	3	3	49 ft x 130 ft (6392 ft²)	Built in 1936 (84 yrs old)	"$7,625"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
6520 Laburnum Street	"$5,498,000"	5	7	48 ft x 130 ft (6240 ft²)	Built in 2015 (5 yrs old)	"$17,778"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
107 2250 W 43rd Avenue	"$450,000"	2	1	Built in 1958 (62 yrs old)	$845	$380	Vancouver West	Kerrisdale	Apt/Condo	Shares in Co-operative	"Inside Unit,Upper Unit"																	
9 5885 Yew Street	"$2,298,000"	2	2	Built in 1985 (35 yrs old)	"$5,907"	$915	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
2375 W 45th Avenue	"$2,398,000"	3	4	4030 ft²	Built in 1991 (29 yrs old)	"$7,457"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
305 5700 Larch Street	"$1,500,000"	2	2	Built in 1998 (22 yrs old)	"$3,555"	$758	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
340 5790 East Boulevard	"$1,198,000"	2	3	Built in 2000 (20 yrs old)	"$3,072"	$533	Vancouver West	Kerrisdale	Townhouse	Freehold Strata	"2 Storey,Inside Unit"																	
6187 Mackenzie Street	"$5,800,000"	4	3	66 ft x 117 ft (7748 ft²)	Built in 1960 (60 yrs old)	"$16,228"	Vancouver West	Kerrisdale	House	Freehold NonStrata	Rancher/Bungalow w/Bsmt.																	
6248 Balaclava Street	"$8,680,000"	7	8	86 ft x 277 ft (24070 ft²)	Built in 1995 (25 yrs old)	"$40,730"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
302 6168 East Boulevard	"$2,580,000"	3	3	Built in 2019 (1 yrs old)	$0	$491	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	"4 Level Split,Corner Unit"																	
210 2128 W 40th Avenue	"$1,217,900"	2	2	Built in 2014 (6 yrs old)	"$2,902"	$462	Vancouver West	Kerrisdale	Apt/Condo	Freehold Strata	1 Storey																	
2069 W 48th Avenue	"$2,388,000"	5	3	33 ft x 119 ft (3927 ft²)	Built in 1969 (51 yrs old)	"$7,281"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
6361 Larch Street	"$2,999,000"	4	3	47 ft x 135 ft (6376 ft²)	Built in 1924 (96 yrs old)	"$9,761"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
6311 Larch Street	"$6,880,000"	5	7	66 ft x 135 ft (8953 ft²)	Built in 2020 (0 yrs old)	"$14,150"	Vancouver West	Kerrisdale	House	Freehold NonStrata	2 Storey w/Bsmt.																	
307 1477 W Pender Street	"$969,000"	1	1	Built in 2011 (9 yrs old)	"$2,390"	$587	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	"Live/Work Studio,Upper Unit"																	
