address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage,,,,,,,,,,,,,,
223 618 W 45th Avenue,"$1,210,000",2,3,Built in 2000 (20 yrs old),"$3,786",$591,Vancouver West,Oakridge,Townhouse,Freehold Strata,2 Storey,R2473293,Jason Wang PREC*,New World Realty Ltd.,,,,,,,,,,,,,,
57 W 42nd Avenue,"$2,088,000",4,2,33 ft x 122 ft (4026 ft²),Built in 1954 (66 yrs old),"$6,844",Vancouver West,Oakridge,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,122,33.00 feet,R2302384,,,,,,,,,,,,,,
460 W 45th Avenue,"$5,000,000",11,11,52 ft x 160 ft (8321 ft²),Built in 2012 (8 yrs old),"$17,829",Vancouver West,Oakridge,House,Freehold NonStrata,2 Storey w/Bsmt.,160.01,52.00 feet,R2411855,,,,,,,,,,,,,,
6069 Fremlin Street,"$3,288,000",4,3,62 ft x 120 ft (7500 ft²),Built in 1961 (59 yrs old),"$9,955",Vancouver West,Oakridge,House,Freehold NonStrata,3 Storey,120,62.50 feet,R2410034,,,,,,,,,,,,,,
407 W 43rd Avenue,"$9,800,000",4,2,55 ft x 114 ft (6270 ft²),Built in 1949 (71 yrs old),"$9,246",Vancouver West,Oakridge,House,Freehold NonStrata,Rancher/Bungalow w/Bsmt.,114,55.00 feet,R2409816,,,,,,,,,,,,,,
433 W 44th Avenue,"$5,990,000",6,5,53 ft x 123 ft (0 ft²),Built in 1994 (26 yrs old),"$13,188",Vancouver West,Oakridge,House,Freehold NonStrata,2 Storey w/Bsmt.,123,53.50 feet,R2408893,,,,,,,,,,,,,,
405 5693 Elizabeth Street,"$1,398,000",2,2,Built in 2020 (0 yrs old),$0,$564,Vancouver West,Cambie,Apt/Condo,Freehold Strata,1 Storey,R2523139,Victoria Liu PREC*,Dracco Pacific Realty,,,,,,,,,,,,,,
203 717 W 17th Avenue,"$2,258,900",2,2,Built in 2020 (0 yrs old),$0,$677,Vancouver West,Cambie,Apt/Condo,Freehold Strata,1 Storey,R2520992,Ben Amzaleg PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
978 W 16th Avenue,"$550,000",1,1,Built in 1997 (23 yrs old),"$1,281",$265,Vancouver West,Cambie,Apt/Condo,Freehold Strata,"Corner Unit,End Unit",R2520187,Maureen Seguin PREC*,Century 21 In Town Realty,,,,,,,,,,,,,,
5564 Elizabeth Street,"$4,500,000",3,3,48 ft x 115 ft (5520 ft²),Built in 1980 (40 yrs old),"$10,078",Vancouver West,Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,115,48.00 feet,R2518667,,,,,,,,,,,,,,
5578 Elizabeth Street,"$4,500,000",5,5,48 ft x 115 ft (5520 ft²),Built in 2015 (5 yrs old),"$13,845",Vancouver West,Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,115,48.00 feet,,,,,,,,,,,,,,
875 W 23rd Avenue,"$2,950,000",9,6,42 ft x 122 ft (5124 ft²),Built in 1940 (80 yrs old),"$8,210",Vancouver West,Cambie,House,Freehold NonStrata,Split Entry,122,42.00 feet,R2518609,,,,,,,,,,,,,,
173 Peveril Avenue,"$2,689,000",4,2,40 ft x 0 ft (4728 ft²),Built in 1942 (78 yrs old),"$8,313",Vancouver West,Cambie,House,Freehold NonStrata,2 Storey,*124.9,40.00 feet,R2517888,,,,,,,,,,,,,,
601 4189 Cambie Street,"$1,098,000",2,2,Built in 2018 (2 yrs old),"$2,870",$527,Vancouver West,Cambie,Apt/Condo,Freehold Strata,"Corner Unit,End Unit",R2517283,Edith Chan PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
5591 Willow Street,"$1,683,000",3,2,Built in 2007 (13 yrs old),"$4,365",$500,Vancouver West,Cambie,Townhouse,Freehold Strata,2 Storey w/Bsmt.,R2516384,Andrew Hasman,RE/MAX Andrew Hasman,,,,,,,,,,,,,,
150 W Woodstock Avenue,"$795,000",1,1,Built in 2020 (0 yrs old),$0,$204,Vancouver West,Cambie,Townhouse,Freehold Strata,2 Storey,R2516268,Ruthie Shugarman PREC*,Dexter Realty,,,,,,,,,,,,,,
105 5383 Cambie Street,"$875,000",1,1,Built in 2020 (0 yrs old),$0,$390,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Ground Level Unit,R2514001,Simmy Sandhu,Dexter Realty,,,,,,,,,,,,,,
311 962 W 16th Avenue,"$864,900",1,2,Built in 1997 (23 yrs old),"$2,021",$442,Vancouver West,Cambie,Apt/Condo,Freehold Strata,"Loft/Warehouse Conv.,Penthouse",R2512641,Cameron Park,Amex Broadway West Realty,,,,,,,,,,,,,,
395 W 20th Avenue,"$2,789,000",5,3,36 ft x 138 ft (4986 ft²),Built in 1930 (90 yrs old),"$9,272",Vancouver West,Cambie,House,Freehold NonStrata,3 Storey,138.5,36.00 feet,R2511868,,,,,,,,,,,,,,
650 W 27th Avenue,"$3,200,000",6,3,56 ft x 125 ft (7063 ft²),Built in 1949 (71 yrs old),"$10,771",Vancouver West,Cambie,House,Freehold NonStrata,1 Storey,125,56.50 feet,R2511713,,,,,,,,,,,,,,
A203 4908 Cambie Street,"$999,000",2,2,Built in 2020 (0 yrs old),$0,$369,Vancouver West,Cambie,Apt/Condo,Freehold Strata,1 Storey,R2510159,Jack Tan PREC*,Sutton Group - 1st West Realty,,,,,,,,,,,,,,
5050 Cambie Street,"$1,999,900",2,3,Built in 2020 (0 yrs old),$0,$742,Vancouver West,Cambie,Townhouse,Freehold Strata,3 Storey,R2509399,Jonathan Lu PREC*,Keller Williams Realty VanCentral,,,,,,,,,,,,,,
210 508 W 29th Avenue,"$759,000",1,1,Built in 2015 (5 yrs old),"$2,112",$406,Vancouver West,Cambie,Apt/Condo,Freehold Strata,1 Storey,R2506843,Alice Rei Ho PREC*,Macdonald Realty,,,,,,,,,,,,,,
101 717 W 17 Avenue,"$1,849,900",2,2,Built in 2020 (0 yrs old),$0,$465,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Corner Unit,R2506217,Ken Leong PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
B101 4908 Cambie Street,"$1,699,000",3,3,Built in 2020 (0 yrs old),$0,$602,Vancouver West,Cambie,Townhouse,Freehold Strata,2 Storey,R2500832,Colin Lo PREC*,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
604 5383 Cambie Street,"$1,378,000",2,2,Built in 2020 (0 yrs old),$0,$358,Vancouver West,Cambie,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2499224,Naomi Wang PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
501 5383 Cambie Street,"$1,768,000",3,2,Built in 2020 (0 yrs old),$0,$465,Vancouver West,Cambie,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2498465,Naomi Wang PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
604 5058 Cambie Street,"$2,288,000",3,2,Built in 2020 (0 yrs old),$0,$444,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Penthouse,R2497614,Peter Saito PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
204 717 W 17th Avenue,"$2,498,900",3,3,Built in 2020 (0 yrs old),$0,$782,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Inside Unit,R2486905,Ben Amzaleg PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
501 4488 Cambie Street,"$2,849,000",3,4,Built in 2019 (1 yrs old),"$6,714","$1,130",Vancouver West,Cambie,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2501583,John Ly PREC*,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
405 633 W King Edward Avenue,"$3,099,900",3,2,Built in 2019 (1 yrs old),"$8,142",$678,Vancouver West,Cambie,Apt/Condo,Freehold Strata,"Corner Unit,Penthouse",R2482116,Ken Leong PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
201 4988 Cambie Street,"$1,399,000",2,2,Built in 2020 (0 yrs old),$0,$552,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Corner Unit,R2477194,Henry Wu PREC*,LeHomes Realty Premier,,,,,,,,,,,,,,
111 5033 Cambie Street,"$799,000",1,1,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Ground Level Unit,R2459003,Tina Lieu PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
111 5033 Cambie Street,"$799,000",1,1,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Ground Level Unit,R2459003,Tina Lieu PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
404 528 W King Edward Avenue,"$1,198,000",2,2,Built in 2020 (0 yrs old),$0,$508,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Corner Unit,R2525023,Amy Tang (Hua) PREC*,Grand Central Realty,,,,,,,,,,,,,,
204 5033 Cambie Street,"$695,000",1,1,Built in 2020 (0 yrs old),"$1,521",$249,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Inside Unit,R2525056,Linda Mak,Team 3000 Realty Ltd.,,,,,,,,,,,,,,
308 4083 Cambie Street,"$1,090,000",1,2,Built in 2017 (3 yrs old),"$2,832",$479,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Corner Unit,R2524928,Michael K Chiang,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
3861 Willow Street,"$1,898,800",2,4,Built in 2021 (-1 yrs old),$0,$307,Vancouver West,Cambie,Apt/Condo,Freehold Strata,"2 Storey,Carriage/Coach House",Heat Recovery Ventilator,R2524409,Jonathan Goodwill,,,,,,,,,,,,,,
102 5383 Cambie Street,"$825,000",1,1,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Cambie,Apt/Condo,Freehold Strata,"Ground Level Unit,Inside Unit",R2524434,Denise Mai PREC*,eXp Realty,,,,,,,,,,,,,,
Ph 5 5168 Cambie Street,"$1,549,900",2,2,Built in 2023 (-3 yrs old),$0,$350,Vancouver West,Cambie,Apt/Condo,Freehold Strata,Inside Unit,R2523615,Diana Zhang,Key Marketing,,,,,,,,,,,,,,
106 6933 Cambie Street,"$1,268,000",2,2,Built in 2019 (1 yrs old),"$2,990",$331,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2517293,Elaine Wu PREC*,LeHomes Realty Premier,,,,,,,,,,,,,,
2 6939 Cambie Street,"$649,000",0,1,Built in 2019 (1 yrs old),"$1,595",$314,Vancouver West,South Cambie,Townhouse,Freehold Strata,"2 Storey,End Unit",R2514148,Anders Fung PREC*,Coldwell Banker Prestige Realty,,,,,,,,,,,,,,
208 6933 Cambie Street,"$1,038,000",2,2,Built in 2019 (1 yrs old),"$2,478",$300,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,Inside Unit,Heat Recovery Ventilator,R2496070,Leon Zhou PREC*,,,,,,,,,,,,,,
210 444 W 49th Avenue,"$1,498,800",2,2,Built in 1980 (40 yrs old),"$2,208",$394,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2491348,Fraser Elliott PREC*,The Firm Real Estate Services Ltd.,,,,,,,,,,,,,,
304 375 W 59th Avenue,"$1,688,800",3,2,Built in 2019 (1 yrs old),"$3,379",$697,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2524981,Sam Sun PREC*,Pacific Evergreen Realty Ltd.,,,,,,,,,,,,,,
203 6677 Cambie Street,"$1,165,000",2,2,Built in 2016 (4 yrs old),"$2,870",$482,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"Corner Unit,End Unit",R2524273,Charlie Kim PREC*,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
102 375 W 59th Avenue,"$1,780,000",3,3,Built in 2019 (1 yrs old),"$3,716",$791,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2521823,Kevin Lu PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
203 389 W 59th Avenue,"$1,527,000",2,2,Built in 2019 (1 yrs old),"$2,867",$596,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,End Unit,R2521572,Anne Wei,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
207 988 W 54th Avenue,"$948,000",2,2,Built in 1999 (21 yrs old),"$2,815",$587,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,Corner Unit,R2521459,Masi Bardi,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
6922 Laurel Street,"$5,388,000",7,6,57 ft x 145 ft (8265 ft²),Built in 2013 (7 yrs old),"$18,172",Vancouver West,South Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,145,57.00 feet,,,,,,,,,,,,,,
502 477 W 59th Avenue,"$1,689,900",3,2,Built in 2021 (-1 yrs old),$0,$663,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2519902,Ben Amzaleg PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
104 477 W 59th Avenue,"$769,900",1,1,Built in 2021 (-1 yrs old),$0,$331,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2519891,Ben Amzaleg PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
204 477 W 59th Avenue,"$1,359,900",2,2,Built in 2021 (-1 yrs old),$0,$611,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2519898,Ben Amzaleg PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
202 488 W 58th Avenue,"$1,645,900",3,2,Built in 2021 (-1 yrs old),$0,$704,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2519887,Ben Amzaleg PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
604 389 W 59th Avenue,"$1,888,000",3,3,Built in 2019 (1 yrs old),"$4,043",$773,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2517258,Sam Sun PREC*,Pacific Evergreen Realty Ltd.,,,,,,,,,,,,,,
925 W 52nd Avenue,"$3,888,000",7,4,145 ft x 60 ft (8700 ft²),Built in 1990 (30 yrs old),"$11,888",Vancouver West,South Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,60,145.00 feet,R2514838,,,,,,,,,,,,,,
966 Westbury Walk,"$1,776,000",4,4,Built in 2004 (16 yrs old),"$4,611",$516,Vancouver West,South Cambie,Townhouse,Freehold Strata,3 Storey,R2514872,Winnie Chung PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
6949 Laurel Street,"$3,590,000",5,5,57 ft x 145 ft (8265 ft²),Built in 1959 (61 yrs old),"$10,246",Vancouver West,South Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,145,57.00 feet,R2513946,,,,,,,,,,,,,,
6889 Cambie Street,"$8,400,000",7,4,60 ft x 130 ft (7795 ft²),Built in 1965 (55 yrs old),"$31,050",Vancouver West,South Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,130,60.00 feet,R2414419,,,,,,,,,,,,,,
503 6677 Cambie Street,"$1,170,000",2,2,Built in 2016 (4 yrs old),"$2,978",$482,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2512591,Jade Shen PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
975 Westbury Walk,"$1,398,000",3,3,Built in 2004 (16 yrs old),"$3,686",$357,Vancouver West,South Cambie,Townhouse,Freehold Strata,3 Storey,R2511902,H. Lydia Hsu PREC*,Macdonald Realty,,,,,,,,,,,,,,
1105 7433 Cambie Street,"$1,790,900",2,2,Built in 2022 (-2 yrs old),$0,$652,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2510165,Andrew Joblin,Onni Realty Inc,,,,,,,,,,,,,,
6650 Oak Street,"$3,998,000",6,2,54 ft x 144 ft (7776 ft²),Built in 1958 (62 yrs old),"$9,265",Vancouver West,South Cambie,House,Freehold NonStrata,2 Storey,144.14,54.00 feet,R2509426,,,,,,,,,,,,,,
205 6933 Cambie Street,"$939,000",2,2,Built in 2019 (1 yrs old),"$2,147",$269,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2508624,Ramon Gutierrez PREC*,Macdonald Realty (Langley),,,,,,,,,,,,,,
6633 Cambie St,"$715,000",1,1,"$1,860",$320,Vancouver West,South Cambie,Apt/Condo,Apartment,Wood,Radiant,X4949765,"Contact Ici Source Real Asset Services Inc., Brokerage","ICI SOURCE REAL ASSET SERVICES INC., BROKERAGE",,,,,,,,,,,,,,
307 7433 Cambie Street,"$729,900",1,1,Built in 2022 (-2 yrs old),$0,$281,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,Other,R2507548,Andrew Joblin,Onni Realty Inc,,,,,,,,,,,,,,
Ph2 7433 Cambie Street,"$3,498,900",3,2,Built in 2022 (-2 yrs old),$0,$963,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,Penthouse,R2497555,Andrew Joblin,Onni Realty Inc,,,,,,,,,,,,,,
Th3 7433 Cambie Street,"$2,249,900",3,4,Built in 2022 (-2 yrs old),$0,$976,Vancouver West,South Cambie,Townhouse,Freehold Strata,3 Storey,R2496646,Andrew Joblin,Onni Realty Inc,,,,,,,,,,,,,,
N108 7428 Alberta Street,"$1,330,000",2,2,Built in 2019 (1 yrs old),"$2,440",$700,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"1 Storey,Ground Level Unit",R2495380,Shirley Wu PREC*,Luxmore Realty,,,,,,,,,,,,,,
6868 Laurel Street,"$5,280,000",6,8,57 ft x 145 ft (8265 ft²),Built in 2012 (8 yrs old),"$16,354",Vancouver West,South Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,145,57.00 feet,R2495207,,,,,,,,,,,,,,
406 6933 Cambie Street,"$1,080,000",2,2,Built in 2019 (1 yrs old),"$2,820",$547,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,Corner Unit,R2492033,Bernie Doyle PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
208 7428 Alberta Street,"$1,299,900",2,2,Built in 2019 (1 yrs old),$0,$514,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"1 Storey,Inside Unit",R2490382,Lily Yang,Team 3000 Realty Ltd.,,,,,,,,,,,,,,
6909 Cambie Street,"$8,400,000",4,4,60 ft x 130 ft (7795 ft²),Built in 1959 (61 yrs old),"$9,347",Vancouver West,South Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,130,60.00 feet,R2488081,,,,,,,,,,,,,,
408 7428 Alberta Street,"$858,000",1,1,Built in 2019 (1 yrs old),$0,$393,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,Other,R2482614,Tom Wang PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
605/606 7428 Alberta Street,"$2,688,800",3,3,Built in 2020 (0 yrs old),"$4,517",$996,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2480419,Tracy Lam PREC*,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
504 389 W 59th Avenue,"$859,000",1,1,Built in 2020 (0 yrs old),"$1,970",$447,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2478719,Raymond Lu PREC*,Sutton Group - 1st West Realty,,,,,,,,,,,,,,
759 W 50th Avenue,"$4,888,000",5,6,55 ft x 120 ft (6600 ft²),Built in 2019 (1 yrs old),"$11,654",Vancouver West,South Cambie,House,Freehold NonStrata,2 Storey w/Bsmt.,120,55.00 feet,R2473276,,,,,,,,,,,,,,
888 W 58th Avenue,"$1,899,000",4,4,Built in 2003 (17 yrs old),"$5,568",$585,Vancouver West,South Cambie,Townhouse,Freehold Strata,End Unit,R2472085,Gabriel Mak,Multiple Realty Ltd.,,,,,,,,,,,,,,
105 375 W 59th Avenue,"$888,000",1,1,Built in 2019 (1 yrs old),"$1,757",$366,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,1 Storey,R2471635,Matthew Liang PREC*,Jovi Realty Inc.,,,,,,,,,,,,,,
408 389 W 59th Avenue,"$1,480,000",3,2,Built in 2019 (1 yrs old),$0,$602,Vancouver West,South Cambie,Apt/Condo,Freehold Strata,"5 Plus Level,Upper Unit",R2459858,Alley Tsou PREC*,Pacific Evergreen Realty Ltd.,,,,,,,,,,,,,,
3872 W 10th Avenue,"$3,388,000",4,6,33 ft x 122 ft (4040 ft²),Built in 2019 (1 yrs old),"$8,933",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122,33.00 feet,,,,,,,,,,,,,,
3007 Crown Street,"$3,288,000",4,4,33 ft x 112 ft (3714 ft²),Built in 2009 (11 yrs old),"$9,496",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,112.56,33.00 feet,,,,,,,,,,,,,,
4628 W 15th Avenue,"$3,388,000",6,6,33 ft x 122 ft (4026 ft²),Built in 2017 (3 yrs old),"$8,866",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2522321,,,,,,,,,,,,,,
4261 W 13th Avenue,"$7,399,000",5,7,55 ft x 122 ft (6710 ft²),Built in 2018 (2 yrs old),"$19,386",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,Heat Recovery Ventilator,122,55.00 feet,,,,,,,,,,,,,,
4754 W 2nd Avenue,"$11,988,000",6,6,100 ft x 338 ft (33838 ft²),Built in 1921 (99 yrs old),"$50,071",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,338.38,100.00 feet,R2517751,,,,,,,,,,,,,,
3707 W 13th Avenue,"$3,450,000",3,3,3663 ft²,Built in 1985 (35 yrs old),"$8,812",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey,33.00 feet,R2516056,D.J. Denner,,,,,,,,,,,,,,
404 3720 W 8th Avenue,"$919,000",2,2,Built in 1988 (32 yrs old),"$2,651",$525,Vancouver West,Point Grey,Apt/Condo,Freehold Strata,"Corner Unit,Penthouse",R2508437,Kathy Xu PREC*,Luxmore Realty,,,,,,,,,,,,,,
202 3639 W 16th Avenue,"$1,899,900",2,3,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Point Grey,Apt/Condo,Freehold Strata,"1 Storey,Upper Unit",R2502408,Mike Rampf PREC*,Engel & Volkers Vancouver,,,,,,,,,,,,,,
3122 Courtenay Street,"$2,880,000",4,2,33 ft x 121 ft (4046 ft²),Built in 1941 (79 yrs old),"$7,752",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,121.85,33.20 feet,R2499822,,,,,,,,,,,,,,
4307 W 13th Avenue,"$4,150,000",5,5,33 ft x 122 ft (4035 ft²),Built in 2019 (1 yrs old),"$9,912",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,122.25,33.00 feet,R2493212,,,,,,,,,,,,,,
3968 W 10th Avenue,"$2,550,000",3,3,33 ft x 122 ft (4029 ft²),Built in 1979 (41 yrs old),"$7,420",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey,122.1,33.00 feet,R2491204,,,,,,,,,,,,,,
2588 Courtenay Street,"$4,388,000",10,5,9631 ft²,Built in 1928 (92 yrs old),"$13,186",Vancouver West,Point Grey,House,Freehold NonStrata,"2 Storey w/Bsmt.,Carriage/Coach House",183.73 feet,R2477469,Faith Wilson,,,,,,,,,,,,,,
4519 W 12th Avenue,"$6,880,000",5,8,49 ft x 122 ft (6035 ft²),Built in 2020 (0 yrs old),"$15,192",Vancouver West,Point Grey,House,Freehold NonStrata,"2 Storey w/Bsmt.,Laneway House",Heat Recovery Ventilator,122,49.45 feet,,,,,,,,,,,,,,
307 3639 W 16th Avenue,"$2,100,000",2,3,Built in 2020 (0 yrs old),$0,$510,Vancouver West,Point Grey,Apt/Condo,Freehold Strata,Corner Unit,R2466763,Chris Strand,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
211 3639 16 Avenue,"$1,860,000",2,2,Built in 2021 (-1 yrs old),$0,$0,Vancouver West,Point Grey,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2391906,Andy Dai PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
4205 W 12th Avenue,"$4,288,000",8,8,33 ft x 122 ft (4026 ft²),Built in 2017 (3 yrs old),"$10,316",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2525027,,,,,,,,,,,,,,
4108 W 12th Avenue,"$4,180,000",3,5,33 ft x 122 ft (4026 ft²),Built in 2020 (0 yrs old),"$9,057",Vancouver West,Point Grey,House,Freehold NonStrata,3 Storey w/Bsmt,122,33.00 feet,R2524378,,,,,,,,,,,,,,
106 3839 W 4th Avenue,"$1,088,800",2,2,Built in 2008 (12 yrs old),"$2,709",$339,Vancouver West,Point Grey,Apt/Condo,Freehold Strata,"Corner Unit,Ground Level Unit",R2522690,Mehdi Haghshenas,Team 3000 Realty Ltd.,,,,,,,,,,,,,,
4248 W 10th Avenue,"$3,880,000",4,2,33 ft x 122 ft (4026 ft²),Built in 2015 (5 yrs old),"$8,083",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2522784,,,,,,,,,,,,,,
4343 W 12th Avenue,"$3,880,000",4,6,33 ft x 122 ft (4026 ft²),Built in 2013 (7 yrs old),"$9,206",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2521700,,,,,,,,,,,,,,
305 3766 W 7th Avenue,"$1,279,000",2,2,Built in 1989 (31 yrs old),"$3,751",$577,Vancouver West,Point Grey,Apt/Condo,Freehold Strata,Upper Unit,R2520304,Margaret Yamaguchi,Georgia Pacific Realty Corp.,,,,,,,,,,,,,,
4532 W 6th Avenue,"$4,580,000",4,4,47 ft x 112 ft (5287 ft²),Built in 1943 (77 yrs old),"$14,556",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,112.5,47.00 feet,R2516484,,,,,,,,,,,,,,
3853 W 14th Avenue,"$5,880,000",8,7,47 ft x 122 ft (5755 ft²),Built in 2013 (7 yrs old),"$21,311",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,122.2,47.10 feet,R2516133,,,,,,,,,,,,,,
4688 W 3rd Avenue,"$13,880,000",5,7,66 ft x 168 ft (11088 ft²),Built in 2012 (8 yrs old),"$54,374",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,168,66.00 feet,R2514807,,,,,,,,,,,,,,
4648 W 8th Avenue,"$2,998,000",4,4,33 ft x 115 ft (3853 ft²),Built in 1989 (31 yrs old),"$8,245",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,115,33.50 feet,R2514011,,,,,,,,,,,,,,
4576 W 7th Avenue,"$3,480,000",3,3,33 ft x 112 ft (3723 ft²),Built in 2006 (14 yrs old),"$10,309",Vancouver West,Point Grey,House,Freehold NonStrata,2 Storey w/Bsmt.,112.8,33.00 feet,R2513853,,,,,,,,,,,,,,
101 3663 W 16th Avenue,"$599,000",1,1,Built in 1977 (43 yrs old),"$1,380",$367,Vancouver West,Point Grey,Apt/Condo,Freehold Strata,"Corner Unit,Ground Level Unit",R2512968,Daniel Chou PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
